INDEX ORBITAL_ID_2 ORBITAL_ID_1 Tau K_1
238 1 1 7 13
239 1 1 7 14
240 1 1 7 15
241 1 1 7 16
242 1 1 7 17
243 1 1 7 18
244 1 1 7 19
245 1 1 7 20
246 1 1 7 21
247 1 1 7 22
248 1 1 7 23
249 1 1 7 24
250 1 1 7 25
251 1 1 7 26
252 1 1 7 27
253 1 1 7 28
254 1 1 7 29
255 1 1 7 30
256 1 1 7 31
257 1 1 8 0
258 1 1 8 1
259 1 1 8 2
260 1 1 8 3
261 1 1 8 4
262 1 1 8 5
263 1 1 8 6
264 1 1 8 7
265 1 1 8 8
266 1 1 8 9
267 1 1 8 10
268 1 1 8 11
269 1 1 8 12
270 1 1 8 13
271 1 1 8 14
272 1 1 8 15
273 1 1 8 16
274 1 1 8 17
275 1 1 8 18
276 1 1 8 19
277 1 1 8 20
278 1 1 8 21
279 1 1 8 22
280 1 1 8 23
281 1 1 8 24
282 1 1 8 25
283 1 1 8 26
284 1 1 8 27
285 1 1 8 28
286 1 1 8 29
287 1 1 8 30
288 1 1 8 31
289 1 1 9 0
290 1 1 9 1
291 1 1 9 2
292 1 1 9 3
293 1 1 9 4
294 1 1 9 5
295 1 1 9 6
296 1 1 9 7
297 1 1 9 8
298 1 1 9 9
299 1 1 9 10
300 1 1 9 11
301 1 1 9 12
302 1 1 9 13
303 1 1 9 14
304 1 1 9 15
305 1 1 9 16
306 1 1 9 17
307 1 1 9 18
308 1 1 9 19
309 1 1 9 20
310 1 1 9 21
311 1 1 9 22
312 1 1 9 23
313 1 1 9 24
314 1 1 9 25
315 1 1 9 26
316 1 1 9 27
317 1 1 9 28
318 1 1 9 29
319 1 1 9 30
320 1 1 9 31
321 1 1 10 0
322 1 1 10 1
323 1 1 10 2
324 1 1 10 3
325 1 1 10 4
326 1 1 10 5
327 1 1 10 6
328 1 1 10 7
329 1 1 10 8
330 1 1 10 9
331 1 1 10 10
332 1 1 10 11
333 1 1 10 12
334 1 1 10 13
335 1 1 10 14
336 1 1 10 15
337 1 1 10 16
338 1 1 10 17
339 1 1 10 18
340 1 1 10 19
341 1 1 10 20
342 1 1 10 21
343 1 1 10 22
344 1 1 10 23
345 1 1 10 24
346 1 1 10 25
347 1 1 10 26
348 1 1 10 27
349 1 1 10 28
350 1 1 10 29
351 1 1 10 30
352 1 1 10 31
353 1 1 11 0
354 1 1 11 1
355 1 1 11 2
356 1 1 11 3
357 1 1 11 4
358 1 1 11 5
359 1 1 11 6
360 1 1 11 7
361 1 1 11 8
362 1 1 11 9
363 1 1 11 10
364 1 1 11 11
365 1 1 11 12
366 1 1 11 13
367 1 1 11 14
368 1 1 11 15
369 1 1 11 16
370 1 1 11 17
371 1 1 11 18
372 1 1 11 19
373 1 1 11 20
374 1 1 11 21
375 1 1 11 22
376 1 1 11 23
377 1 1 11 24
378 1 1 11 25
379 1 1 11 26
380 1 1 11 27
381 1 1 11 28
382 1 1 11 29
383 1 1 11 30
384 1 1 11 31
385 1 1 12 0
386 1 1 12 1
387 1 1 12 2
388 1 1 12 3
389 1 1 12 4
390 1 1 12 5
391 1 1 12 6
392 1 1 12 7
393 1 1 12 8
394 1 1 12 9
395 1 1 12 10
396 1 1 12 11
397 1 1 12 12
398 1 1 12 13
399 1 1 12 14
400 1 1 12 15
401 1 1 12 16
402 1 1 12 17
403 1 1 12 18
404 1 1 12 19
405 1 1 12 20
406 1 1 12 21
407 1 1 12 22
408 1 1 12 23
409 1 1 12 24
410 1 1 12 25
411 1 1 12 26
412 1 1 12 27
413 1 1 12 28
414 1 1 12 29
415 1 1 12 30
416 1 1 12 31
417 1 1 13 0
418 1 1 13 1
419 1 1 13 2
420 1 1 13 3
421 1 1 13 4
422 1 1 13 5
423 1 1 13 6
424 1 1 13 7
425 1 1 13 8
426 1 1 13 9
427 1 1 13 10
428 1 1 13 11
429 1 1 13 12
430 1 1 13 13
431 1 1 13 14
432 1 1 13 15
433 1 1 13 16
434 1 1 13 17
435 1 1 13 18
436 1 1 13 19
437 1 1 13 20
438 1 1 13 21
439 1 1 13 22
440 1 1 13 23
441 1 1 13 24
442 1 1 13 25
443 1 1 13 26
444 1 1 13 27
445 1 1 13 28
446 1 1 13 29
447 1 1 13 30
448 1 1 13 31
449 1 1 14 0
450 1 1 14 1
451 1 1 14 2
452 1 1 14 3
453 1 1 14 4
454 1 1 14 5
455 1 1 14 6
456 1 1 14 7
457 1 1 14 8
458 1 1 14 9
459 1 1 14 10
460 1 1 14 11
461 1 1 14 12
462 1 1 14 13
463 1 1 14 14
464 1 1 14 15
465 1 1 14 16
466 1 1 14 17
467 1 1 14 18
468 1 1 14 19
469 1 1 14 20
470 1 1 14 21
471 1 1 14 22
472 1 1 14 23
473 1 1 14 24
474 1 1 14 25
475 1 1 14 26
476 1 1 14 27
477 1 1 14 28
478 1 1 14 29
479 1 1 14 30
480 1 1 14 31
481 1 1 15 0
482 1 1 15 1
483 1 1 15 2
484 1 1 15 3
485 1 1 15 4
486 1 1 15 5
487 1 1 15 6
488 1 1 15 7
489 1 1 15 8
490 1 1 15 9
491 1 1 15 10
492 1 1 15 11
493 1 1 15 12
494 1 1 15 13
495 1 1 15 14
496 1 1 15 15
497 1 1 15 16
498 1 1 15 17
499 1 1 15 18
500 1 1 15 19
501 1 1 15 20
502 1 1 15 21
503 1 1 15 22
504 1 1 15 23
505 1 1 15 24
506 1 1 15 25
507 1 1 15 26
508 1 1 15 27
509 1 1 15 28
510 1 1 15 29
511 1 1 15 30
512 1 1 15 31
513 1 1 16 0
514 1 1 16 1
515 1 1 16 2
516 1 1 16 3
517 1 1 16 4
518 1 1 16 5
519 1 1 16 6
520 1 1 16 7
521 1 1 16 8
522 1 1 16 9
523 1 1 16 10
524 1 1 16 11
525 1 1 16 12
526 1 1 16 13
527 1 1 16 14
528 1 1 16 15
529 1 1 16 16
530 1 1 16 17
531 1 1 16 18
532 1 1 16 19
533 1 1 16 20
534 1 1 16 21
535 1 1 16 22
536 1 1 16 23
537 1 1 16 24
538 1 1 16 25
539 1 1 16 26
540 1 1 16 27
541 1 1 16 28
542 1 1 16 29
543 1 1 16 30
544 1 1 16 31
545 1 1 17 0
546 1 1 17 1
547 1 1 17 2
548 1 1 17 3
549 1 1 17 4
550 1 1 17 5
551 1 1 17 6
552 1 1 17 7
553 1 1 17 8
554 1 1 17 9
555 1 1 17 10
556 1 1 17 11
557 1 1 17 12
558 1 1 17 13
559 1 1 17 14
560 1 1 17 15
561 1 1 17 16
562 1 1 17 17
563 1 1 17 18
564 1 1 17 19
565 1 1 17 20
566 1 1 17 21
567 1 1 17 22
568 1 1 17 23
569 1 1 17 24
570 1 1 17 25
571 1 1 17 26
572 1 1 17 27
573 1 1 17 28
574 1 1 17 29
575 1 1 17 30
576 1 1 17 31
577 1 1 18 0
578 1 1 18 1
579 1 1 18 2
580 1 1 18 3
581 1 1 18 4
582 1 1 18 5
583 1 1 18 6
584 1 1 18 7
585 1 1 18 8
586 1 1 18 9
587 1 1 18 10
588 1 1 18 11
589 1 1 18 12
590 1 1 18 13
591 1 1 18 14
592 1 1 18 15
593 1 1 18 16
594 1 1 18 17
595 1 1 18 18
596 1 1 18 19
597 1 1 18 20
598 1 1 18 21
599 1 1 18 22
600 1 1 18 23
601 1 1 18 24
602 1 1 18 25
603 1 1 18 26
604 1 1 18 27
605 1 1 18 28
606 1 1 18 29
607 1 1 18 30
608 1 1 18 31
609 1 1 19 0
610 1 1 19 1
611 1 1 19 2
612 1 1 19 3
613 1 1 19 4
614 1 1 19 5
615 1 1 19 6
616 1 1 19 7
617 1 1 19 8
618 1 1 19 9
619 1 1 19 10
620 1 1 19 11
621 1 1 19 12
622 1 1 19 13
623 1 1 19 14
624 1 1 19 15
625 1 1 19 16
626 1 1 19 17
627 1 1 19 18
628 1 1 19 19
629 1 1 19 20
630 1 1 19 21
631 1 1 19 22
632 1 1 19 23
633 1 1 19 24
634 1 1 19 25
635 1 1 19 26
636 1 1 19 27
637 1 1 19 28
638 1 1 19 29
639 1 1 19 30
640 1 1 19 31
641 1 1 20 0
642 1 1 20 1
643 1 1 20 2
644 1 1 20 3
645 1 1 20 4
646 1 1 20 5
647 1 1 20 6
648 1 1 20 7
649 1 1 20 8
650 1 1 20 9
651 1 1 20 10
652 1 1 20 11
653 1 1 20 12
654 1 1 20 13
655 1 1 20 14
656 1 1 20 15
657 1 1 20 16
658 1 1 20 17
659 1 1 20 18
660 1 1 20 19
661 1 1 20 20
662 1 1 20 21
663 1 1 20 22
664 1 1 20 23
665 1 1 20 24
666 1 1 20 25
667 1 1 20 26
668 1 1 20 27
669 1 1 20 28
670 1 1 20 29
671 1 1 20 30
672 1 1 20 31
673 1 1 21 0
674 1 1 21 1
675 1 1 21 2
676 1 1 21 3
677 1 1 21 4
678 1 1 21 5
679 1 1 21 6
680 1 1 21 7
681 1 1 21 8
682 1 1 21 9
683 1 1 21 10
684 1 1 21 11
685 1 1 21 12
686 1 1 21 13
687 1 1 21 14
688 1 1 21 15
689 1 1 21 16
690 1 1 21 17
691 1 1 21 18
692 1 1 21 19
693 1 1 21 20
694 1 1 21 21
695 1 1 21 22
696 1 1 21 23
697 1 1 21 24
698 1 1 21 25
699 1 1 21 26
700 1 1 21 27
701 1 1 21 28
702 1 1 21 29
703 1 1 21 30
704 1 1 21 31
705 1 1 22 0
706 1 1 22 1
707 1 1 22 2
708 1 1 22 3
709 1 1 22 4
710 1 1 22 5
711 1 1 22 6
712 1 1 22 7
713 1 1 22 8
714 1 1 22 9
715 1 1 22 10
716 1 1 22 11
717 1 1 22 12
718 1 1 22 13
719 1 1 22 14
720 1 1 22 15
721 1 1 22 16
